"場所ID","場所名稱","場所縣市","場所區域","場所地址","場所分類","場所類型","場所描述","AEDID","AED放置地點","AED地點描述","地點LAT","地點LNG","周一至周五起","周一至周五迄","周六起","周六迄","周日起","周日迄","開放使用時間備註","開放時間緊急連絡電話"
"5371","新竹縣竹東國小","新竹縣","竹東鎮","新竹縣竹東鎮康寧街1號","學校、大型集會場所","國小","","17341","警衛室","警衛室內","24.735861","121.088138","07:30:00","16:00:00","","","","","","03-5962025"
"10332","秀泰人文股份有限公司","臺中市","南屯區","臺中市南屯區台中市南屯區文心南路289號","大型購物場所","商場","","17344","7F影城手扶梯前","7F影城手扶梯上來正前方","24.129958","120.645842","10:00:00","03:00:00","09:30:00","03:00:00","09:30:00","03:00:00","","0986-962902"
"6045","桃園市立龍興國中","桃園市","中壢區","桃園市中壢區龍勇路100號","學校、大型集會場所","國中","","17346","桃園市龍興國中","活動中心側邊","24.937961","121.23608","05:00:00","07:00:00","05:00:00","09:00:00","05:00:00","10:00:00","星期六下午開放時間2-8點
星期日下午開放時間2-8點","034575200-516"
"6305","桃園市八德區八德國民小學","桃園市","八德區","桃園市八德區興豐路222號","學校、大型集會場所","國小","","17353","健康中心外牆","健康中心外牆","24.92902","121.283891","07:20:00","15:30:00","07:20:00","15:30:00","07:20:00","15:30:00","","03-3682943#512"
"7694","天然谷溫泉會館","新竹縣","尖石鄉","新竹縣尖石鄉新竹縣尖石鄉天然谷25號","大型公眾浴場或溫泉區","溫泉區","","17354","天然谷溫泉會館一樓","新竹縣尖石鄉天然谷25號 會館進門後右前方,面對服務臺右方,辦公室旁,泳裝區後方","24.687287","121.222283","08:00:00","21:00:00","08:00:00","22:00:00","08:00:00","21:00:00","週日~週四 AM 08:00~PM 21:00
週五，週六 AM 08:00~PM 22:00","03-5841321 "
"5596","國教輔導團教師研習中心","苗栗縣","後龍鎮","苗栗縣後龍鎮埔頂里頂東路30號","學校、大型集會場所","國小","","17355","一樓研習中心講師休息室","一樓-講師休息室","24.612763","120.819554","08:00:00","17:00:00","","","","","","037-727018"
"24246","和泰興業股份有限公司_台南分公司","臺南市","永康區","臺南市永康區國聖街81巷31~33號","其他","其他場所","和泰興業股份有限公司_台南分公司","17359","營業所內左","營業所內左","23.03363304921","120.22377444021","08:30:00","17:30:00","","","","","","(06)253-3310"
"5792","日月光半導體製造股份有限公司K14B廠區","高雄市","楠梓區","高雄市楠梓區西六街52號","其他","其他場所","","17362","1F(南側)警衛室","1F(南側)警衛室","22.721328","120.299542","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","可供成人及兒童使用","07-3617131#89192"
"6292","桃園市楊梅區楊梅國小","桃園市","楊梅區","桃園市楊梅區校前路1號","學校、大型集會場所","國小","","17370","校門口警衛室","警衛室門口左側","24.905484","121.144693","","","","","","","全天候","4782016"
"746","東陽實業廠股份有限公司","臺南市","安南區","臺南市安南區安和路二段98號","其他","其他場所","","17372","政安路守衛室","政安路守衛室","23.038645","120.214882","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","","06-3560511"
"10424","台東縣台東市豐年國民小學","臺東縣","臺東市","臺東縣臺東市台東縣台東市中興路三段320號","學校、大型集會場所","國小","","17374","台東縣豐年國小辦公室","放置於台東縣豐年國校辦公室靠走廊側牆壁上","22.771933","121.111271","07:30:00","16:00:00","","","","","星期一至星期五遇國定假日除外","089226733"
"24311","和泰興業股份有限公司_嘉義倉","嘉義市","西區","嘉義市西區大貴路3巷30-2號","其他","其他場所","和泰興業股份有限公司_嘉義倉","17379","辦公室外","辦公室外","23.465217800135","120.41058240905","08:30:00","17:30:00","","","","","","(05)235-0615"
"19937","太平長青學苑","臺中市","太平區","臺中市太平區太平路446號3樓","其他","其他場所","","17381","長青學苑大廳","太平長青學苑大廳","24.124881217371","120.71563541256","","","","","","","","8:00至17:00上課時間"
"6037","桃園市中壢區內壢國民小學","桃園市","中壢區","桃園市中壢區福德路２０號","學校、大型集會場所","國小","","17382","警衛室","警衛室","24.972151","121.205396","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:55:00","全天候","(03)4635888"
"5485","桃園市大園區?林國小","桃園市","桃園區","桃園市桃園區果林村12鄰41號","學校、大型集會場所","國小","","17390","校門口穿堂","校門口穿堂","25.07507","121.258781","07:00:00","18:00:00","07:00:00","18:00:00","07:00:00","18:00:00","","03-3835096-560"
"3927","新北市藝文中心","新北市","板橋區","新北市板橋區莊敬路62號1F","大型休閒場所","美術館","","17394","演藝廳大廳男廁旁","放置於演藝廳大廳男廁旁","25.026107","121.472335","09:00:00","17:00:00","09:00:00","17:00:00","09:00:00","17:00:00","","02-22534417"
"5499","桃苗汽車中壢服務廠","桃園市","中壢區","桃園市中壢區桃園市中壢區中園路162號","其他","其他場所","","17395","中壢服務廠客休室","中壢服務廠客休室","25.002494","121.229343","08:30:00","20:00:00","08:30:00","17:30:00","08:30:00","17:30:00","","0910142415"
"5514","桃園分局大樹派出所","桃園市","桃園區","桃園市桃園區樹仁二街41號","其他","其他場所","","17398","辦公室一樓","辦公室一樓廁所旁","24.978062","121.320218","08:00:00","08:00:00","08:00:00","08:00:00","08:00:00","08:00:00","","03-3622987"
"5665","汴洲里老人活動中心","桃園市","桃園區","桃園市桃園區朝陽街63","其他","其他場所","","17400","汴洲里老人活動中心櫃台","汴洲里老人活動中心櫃台","24.974804","121.320861","08:00:00","17:00:00","","","","","","03-3469051"
"5463","桃園市立青溪國民中學","桃園市","桃園區","桃園市桃園區中山東路124號","學校、大型集會場所","國中","","17403","校警室內","學校大門口校警室","24.997312","121.319616","00:00:00","22:55:00","00:00:00","22:55:00","00:00:00","22:55:00","","3392400"
"8074","梨山賓館","臺中市","和平區","臺中市和平區梨山里中正路91號","旅宿場所","旅館","","17412","住宿登記櫃台","住宿登記櫃台","24.254296","121.251581","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","全年無休","04-25980887"
"12538","馬玉山食品工業股份有公司","高雄市","左營區","高雄市左營區民族一路709號","觀光旅遊地區","民營遊樂業","","17413","紅頂榖創服務中心","馬玉山觀光工廠-紅頂榖創榖物文創樂園服務中心售票處","22.67201","120.317481","09:00:00","17:00:00","09:00:00","17:00:00","09:00:00","17:00:00","觀光工廠每周一館休","073460333"
"5228","基隆市仁愛區衛生所","基隆市","仁愛區","基隆市仁愛區光一路26號","其他","其他場所","","17429","1樓大廳","一樓大聽","25.125935729748","121.73751600586","","","","","","","","24311592"
"15187","成德國中運動中心-舞動陽光","臺北市","南港區","臺北市南港區東新街108巷23號","學校、大型集會場所","健身中心","","17437","1樓大廳","1樓大廳","25.044690534407","121.58739665821","05:30:00","22:00:00","05:30:00","22:00:00","05:30:00","22:00:00","","02-2782-5000"
"5785","竹北市衛生所","新竹縣","竹北市","新竹縣竹北市光明二街89號","其他","其他場所","","17457","一樓兒童保健服務區","一樓兒童保健服務區入口處","24.832145","121.006779","08:00:00","17:00:00","","","","","","星期一至五8點至17點"
"8020","內政部警政署保安警察第六總隊第二大隊第三中隊","臺北市","士林區","臺北市士林區自祥街36號","其他","其他場所","","17463","保六二大三中備勤室","台北市士林區自祥街36號","25.096268","121.534825","","","","","","","24小時","0228831896"
"5794","新竹縣竹東鎮衛生所","新竹縣","竹東鎮","新竹縣竹東鎮中正路221號","其他","其他場所","","17473","新竹縣竹東鎮衛生所","新竹縣竹東鎮衛生所","24.735789","121.09301","08:00:00","17:00:00","","","","","","(03)5943566"
"6529","天隆電子鍍金工業股份有限公司","桃園市","蘆竹區","桃園市蘆竹區錦興里南崁下41~10號","其他","其他場所","","17500","桃園市蘆竹區錦興里南崁下41~10號","公司位於蘆竹區錦福路與錦秀街口(南崁溪旁錦福宮附近,有單車步道經過),放置於工廠大門口左側","25.089797","121.289921","","","","","","","未限制","03-3524157~9"
"5688","宜蘭縣立蘭陽博物館","宜蘭縣","頭城鎮","宜蘭縣頭城鎮青雲路三段750號","大型休閒場所","博物館","","17544","本館一樓大廳服務台旁","位於本館大廳入口右側服務台旁","24.868833","121.830995","09:00:00","17:00:00","09:00:00","17:00:00","09:00:00","17:00:00","開放時間:09:00~17:00
休館日： 
•每週三（若逢國定假日照常開放）
•除夕前一日與除夕
•政府公告之天然災害停止上班日
•館方另行公告之必要休館日","03-9779700"
"6920","衛生福利部基隆醫院附設護理之家","基隆市","信義區","基隆市信義區信二路268號","其他","其他場所","","17546","護理之家","護理之家二樓護理站前方","25.130262","121.748129","08:00:00","20:30:00","08:00:00","20:30:00","08:00:00","20:30:00","","(02)24292525轉8620"
"6974","衛生福利部基隆醫院","基隆市","信義區","基隆市信義區信二路268號","其他","其他場所","","17547","衛生福利部基隆醫院復健科","衛生福利部基隆醫院復健科候診區","25.130262","121.748129","08:00:00","17:00:00","08:00:00","12:00:00","","","","(02)24292525"
"5718","Dr.Nail足研所","臺北市","松山區","臺北市松山區南京東路五段108號6樓","其他","其他場所","","17562","大門進入後的右前方","Dr.Nail足研所大門進入後的右前方為AED放置位子","25.051215","121.562072","11:00:00","21:00:00","11:00:00","21:00:00","11:00:00","19:00:00","特別休假日不再另行公告","02-2528-3180"
"10904","文化園區管理所","金門縣","金沙鎮","金門縣金沙鎮金門縣金沙鎮文化路450巷52號","觀光旅遊地區","國家級風景區","","17568","1樓及地下1樓","1樓及地下1樓","24.49781","118.402898","09:00:00","17:00:00","09:00:00","17:00:00","09:00:00","17:00:00","每星期一及除夕休館","082-351030"
"9805","新北市立佳林國民中學","新北市","林口區","新北市林口區中山路268號","學校、大型集會場所","國中","","17577","佳林國中健康中心內，進門右前方牆上","健康中心牆上","25.080760919061","121.38405629669","08:00:00","16:30:00","","","","","","26028555*650"
"7181","桃園市大溪區中興國民小學","桃園市","大溪區","桃園市大溪區大鶯路1125號","學校、大型集會場所","國小","","17579","警衛室旁廁所牆面","校門口一入口警衛室旁廁所牆面上","24.924826","121.309658","07:40:00","15:40:00","07:40:00","15:40:00","","","","033801394"
"25292","亞捷健康管理顧問股份有限公司","花蓮縣","花蓮市","花蓮縣花蓮市中順街151號","其他","其他場所","屬於社區型健身房，提供會員訓練，教練一對一課程訓練","17584","1F場館","一進門櫃台後放","23.970183020177","121.59544076715","08:00:00","22:30:00","08:00:00","22:30:00","","","每周日固定公休，國定假日公休","038563661"
"19581","迪卡儂 仁德店","臺南市","仁德區","臺南市仁德區中山路799號","大型購物場所","商場","DECATHLON 迪卡儂 台南仁德店","17595","迪卡儂入口處","位於迪卡儂仁德店門口處","22.973046345039","120.24470635472","","","","","","","營業時間：
週一至週日 10:00-22:00","06-2791655"
"18778","楊心國民小學","桃園市","楊梅區","桃園市楊梅區金華街100號","學校、大型集會場所","國小","","17596","楊心國小校門口警衛室","AED箱體設置在校門口24小時警衛室內的牆壁上","24.909324","121.143389","06:00:00","06:00:00","06:00:00","06:00:00","06:00:00","06:00:00","","(03)4758680分機191"
"22181","統一超商關廟商場","臺南市","龍崎區","臺南市龍崎區楠坑里楠坑12-1號","交通要衝","高速公路服務區","本服務區位於國道3號最南端，分南北兩站，兩站服務台前皆設有AED供緊急救護使用。","17597","南北站服務台前","設於二樓賣場服務台前方","22.929178404328","120.35249209431","07:00:00","22:00:00","07:00:00","22:00:00","07:00:00","22:00:00","","北站06-555-1535；南站06-555-2573"
"6754","桃園市觀音區育仁國民小學","桃園市","觀音區","桃園市觀音區坑尾里4鄰育仁路二段1號","學校、大型集會場所","國小","","17598","健康中心門外","近學校側門約30公尺健康中心門外。","25.000778","121.113027","08:00:00","17:30:00","08:00:00","17:30:00","08:00:00","17:30:00","","03-4732720"
"21679","財團法人臺灣省私立高雄仁愛之家 慈愛養護中心","高雄市","大寮區","高雄市大寮區民順街1號","其他","其他場所","長照機構-養護中心","17599","養護中心6樓護理站旁","養護中心6樓護理站旁","22.6402429383","120.39693560091","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","長照機構-養護中心","0929027379"
"11292","臺北南港展覽館2館","臺北市","南港區","臺北市南港區經貿二路2號","其他","其他場所","","17606","展覽館4樓","4樓R區","25.056026","121.616247","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:09:00","配合展覽活動開放","02-27255200#6648"
"24563","新北市土城國民運動中心","新北市","土城區","新北市土城區金城路2段247-1號","大型休閒場所","運動場館(如小巨蛋)","新北市土城國民運動中心為結合運動空間、綠建築及節能設計之建築物，打造民眾休閒、健身學習、多元性運動空間，館內包含游泳池、冰宮、健身房及綜合球場等運動設施，提供民眾友善運動環境。","17608","一樓游泳館","一樓游泳館AED設置於：25米池前女蒸氣室門口旁。","24.985535345879","121.45724672664","06:00:00","22:00:00","06:00:00","22:00:00","06:00:00","22:00:00","營運時間週日到週六06:00-22:00，
除夕及農曆大年初一休館，
初二到初五營業時間調整為08:00-17:00。","02-22615999"
"8763","高雄市立中芸國民中學","高雄市","林園區","高雄市林園區中芸路3-100號","學校、大型集會場所","國中","","17611","中芸國民中學","一樓穿堂","22.486111","120.395372","08:00:00","15:50:00","","","","","","07-6425223#30"
"6048","台東桂田璽悅酒店","臺東縣","臺東市","臺東縣臺東市正氣路316號","旅宿場所","旅館","","17615","泳池入口旁","阿力海餐廳及泳池入口之間","22.755243","121.148595","07:00:00","23:00:00","07:00:00","23:00:00","07:00:00","23:00:00","","07:00~23:00"
"17999","久元電子股份有限公司(力行廠)","新竹市","東區","新竹市東區科學工業園區力行路2號3樓","其他","其他場所","","17618","三樓走道","電梯出來左手邊","24.775173805577","121.01829074562","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","","0922-338992"
"15792","台南市善化區衛生所","臺南市","善化區","臺南市善化區中山路200號","其他","其他場所","","17622","藥局旁邊","大門進去右轉，藥局入口旁","23.132715","120.30018","08:55:00","17:30:00","","","","","","06-5837035"
"6885","財團法人蘭智社會福利基金會附設私立蘭陽智能發展學苑","宜蘭縣","冬山鄉","宜蘭縣冬山鄉柯林村安農二路208號","其他","其他場所","","17628","前棟三樓隔離室前","前棟三樓隔離室前","24.691213","121.745551","08:00:00","17:00:00","00:00:00","00:00:00","","","","03-9530901"
"24236","和泰興業股份有限公司_北區物流中心","桃園市","蘆竹區","桃園市蘆竹區海山東街470號","其他","其他場所","和泰興業股份有限公司_北區物流中心","17631","1樓電梯旁","1樓電梯旁","25.104348874499","121.26707130513","08:30:00","17:30:00","","","","","","(03)3543680"
"15799","臺南市六甲區衛生所","臺南市","六甲區","臺南市六甲區二甲里中華路110號","其他","其他場所","","17640","一樓檢驗室旁","一樓檢驗室旁牆壁上","23.224271","120.346835","08:00:00","17:30:00","","","","","","066982013"
"6014","桃園市立龍潭國民中學","桃園市","龍潭區","桃園市龍潭區龍華路460號","學校、大型集會場所","國中","","17651","川廊","大門口進入川廊外牆","24.844493","121.205396","09:00:00","17:00:00","00:00:00","00:00:00","00:00:00","00:00:00","","03-4792664"
"21428","臺中市政府警察局第五分局北屯派出所","臺中市","北屯區","臺中市北屯區北屯路106號","交通要衝","機場","臺中市政府警察局第五分局北屯派出所一樓值班台後方","17653","北屯派出所值班台後方","北屯派出所值班台後方","24.16390722071","120.69382059124","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","","04-22304892"
"5420","中興保全股份有限公司(1樓接待大廳)","臺北市","大同區","臺北市大同區鄭州路139號","其他","其他場所","","17654","大廳入口左側","大廳入口左側","25.050491","121.510105","08:40:00","17:30:00","","","","","","0920504100"
"6048","台東桂田璽悅酒店","臺東縣","臺東市","臺東縣臺東市正氣路316號","旅宿場所","旅館","","17655","泳池入口旁","泳池入口旁","22.755294857523","121.14859017387","","","","","","","","24HR"
"8045","廣亞學校財團法人育達科技大學","苗栗縣","造橋鄉","苗栗縣造橋鄉苗栗縣造橋鄉談文村學府路168號","學校、大型集會場所","大專院校","","17660","思賢會館","育達科大幼兒園中心預定地","24.650975","120.842263","09:00:00","23:55:00","09:00:00","23:55:00","09:00:00","23:55:00","","037651188轉2111"
"6050","大同鄉南山國小","宜蘭縣","大同鄉","宜蘭縣大同鄉大同鄉南山村埤南巷31-3號","學校、大型集會場所","國小","","17661","辦公室","辦公室","24.549505","121.512062","08:00:00","16:30:00","00:00:00","00:00:00","00:00:00","00:00:00","","03-9809113"
"9950","高雄市小港區坪頂國民小學","高雄市","小港區","高雄市小港區大平路2號","學校、大型集會場所","國小","","17663","警衛室幼兒園間","C棟大樓1樓電梯旁","22.56094","120.391495","07:30:00","16:30:00","","","","","","8911410"
"11315","彰化縣芳苑鄉王功國民小學","彰化縣","芳苑鄉","彰化縣芳苑鄉王功村功湖路王功段481號","學校、大型集會場所","國小","","17665","北棟東側","北棟東側第2間教室(健康中心外牆壁上)","23.965245","120.341975","08:00:00","17:30:00","","","","","","048932182"
"16120","台南市南化區衛生所","臺南市","南化區","臺南市南化區南化里226-1號","其他","其他場所","","17686","衛生所一樓入口右側牆面","衛生所入口右側窗戶旁邊牆面","23.042615","120.478965","08:00:00","17:00:00","","","","","例假日與國定假日不開放使用","06-5771139"
"864","臺中市私立明道高級中學","臺中市","烏日區","臺中市烏日區中山路一段497號","學校、大型集會場所","高中職","","17688","本校蠡海大樓三樓","本校蠡海大樓三樓國中部家政教室前","24.10604","120.635902","07:30:00","17:00:00","","","","","","04-23372101"
"7879","彰化縣社頭鄉立圖書館","彰化縣","社頭鄉","彰化縣社頭鄉信義三路55號","大型休閒場所","圖書館","","17695","社頭鄉立圖書館","一樓櫃台及期刊室間","23.897501","120.589634","08:00:00","21:00:00","08:00:00","17:00:00","08:00:00","17:00:00","星期一及國定假日休館","04-8730451"
"13868","國家表演藝術中心國家兩廳院(國家戲劇院)","臺北市","中正區","臺北市中正區中山南路21-1號","大型休閒場所","電影片映演場所(戲院、電影院)","","17696","戲劇院大廳","戲劇院靠四號門大廳","25.035275","121.51823","","","","","","",".","02-33939595"
"15287","台南應用科技大學","臺南市","永康區","臺南市永康區中正路529號","學校、大型集會場所","大專院校","","17697","多功能展演中心1樓","多功能展演中心1F(正南五街)","23.03599","120.237154","00:01:00","23:59:00","00:01:00","23:59:00","00:01:00","23:59:00","每日全天24小時","06-2532106#279"
"8997","全國公證檢驗股份有限公司","臺中市","西屯區","臺中市西屯區工業區38路185之1號","其他","其他場所","","17698","安規實驗室入口旁","放置於安規實驗室入口旁","24.173661","120.588959","09:30:00","18:00:00","","","","","","+886-4-2359-8819 Ext. 625"
"15287","台南應用科技大學","臺南市","永康區","臺南市永康區中正路529號","學校、大型集會場所","大專院校","","17701","紅樓宿舍1樓","紅樓宿舍
位於校內","23.0368","120.240104","07:00:00","23:00:00","07:00:00","23:00:00","07:00:00","23:00:00","寒暑假期間不開放","0982247250"
"6049","宜蘭縣南澳鄉金洋國民小學","宜蘭縣","南澳鄉","宜蘭縣南澳鄉金洋村金洋路11號","學校、大型集會場所","國小","保健中心","17707","健康中心","金洋國小健康中心內","24.426231","121.749311","08:00:00","15:50:00","","","","","保健中心","0912548993"
"6025","快樂輪","高雄市","鼓山區","高雄市鼓山區濱海一路76號（快樂輪）","長距離交通工具","客船","","17711","高雄市輪船公司快樂號","高雄市輪船公司快樂號二樓客艙救生衣櫃上方","22.619785","120.269943","05:00:00","02:00:00","05:00:00","02:00:00","05:00:00","02:00:00","船有營運 AED開放使用","07-5514316"
"18102","高雄市輪船公司旗鼓一號","高雄市","鼓山區","高雄市鼓山區濱海一路76號（旗鼓一號）","長距離交通工具","客船","","17712","高雄市輪船公司旗鼓一號","旗鼓一號二樓客艙出入口","22.619776","120.269936","05:00:00","02:00:00","05:00:00","02:00:00","05:00:00","02:00:00","船有營運 AED開放使用","07-5514316"
"5987","臺東縣大武鄉大鳥國民小學","臺東縣","大武鄉","臺東縣大武鄉大鳥村1鄰12號","學校、大型集會場所","國小","","17715","校長室旁邊的穿堂","校長室旁邊的穿堂","22.383244576651","120.91032515073","08:00:00","16:00:00","","","","","","089-791530"
"5970","財團法人南投縣私立傑瑞社會福利基金會附設南投縣私立傑瑞老人安養中心","南投縣","南投市","南投縣南投市嶺興路210之3號","其他","其他場所","","17716","長青大樓3樓大廳壁上","由機構大門進入循園區道路至第3棟長青大樓並由大門進入3樓大廳於右側牆壁上","23.900051","120.657586","08:00:00","18:00:00","08:00:00","18:00:00","08:00:00","18:00:00","","0492230990#336"
"18103","高雄市輪船公司旗鼓二號","高雄市","鼓山區","高雄市鼓山區濱海一路76號（旗鼓二號）","長距離交通工具","客船","","17721","高雄市輪船公司旗鼓二號","二樓客艙出入口","22.619779","120.269947","05:00:00","02:00:00","05:00:00","02:00:00","05:00:00","02:00:00","船有營運，AED開放使用","07-5514656"
"11683","高雄市輪船公司旗福一號","高雄市","鼓山區","高雄市鼓山區濱海二路1號（旗福一號）","長距離交通工具","客船","","17723","船舶駕駛室","位於船舶駕駛室右側","22.62197","120.270275","05:00:00","02:00:00","05:00:00","02:00:00","05:00:00","02:00:00","船舶於營運時開放使用","07-5514316"
"19443","福杉國際旅館管理顧問股份有限公司","南投縣","鹿谷鄉","南投縣鹿谷鄉森林巷10-1號一樓","旅宿場所","飯店","溪頭福華飯店雲杉樓1樓","17727","雲杉樓一樓","雲杉樓一樓左側","23.674174805413","120.79842401788","09:00:00","20:00:00","08:00:00","20:00:00","08:00:00","20:00:00","","(049)2612588#9"
"3102","宜誠高峰會社區","桃園市","中壢區","桃園市中壢區正大街50號","其他","其他場所","","17739","社區入口大廳","大廳服務櫃台","24.959172","121.204889","14:00:00","21:00:00","","","","","如需AED管理人操作 請先確認其是否在現場.","(03)401-3371"
"6097","至善樓公寓大廈管理委員會","桃園市","桃園區","桃園市桃園區自強路85號","其他","其他場所","","17743","守衛室左側牆壁","自強路至善樓社區大門進去的守衛室左側牆","24.997202","121.318315","06:00:00","21:00:00","06:00:00","21:00:00","06:00:00","21:00:00","","033321540"
"24310","和泰興業股份有限公司_嘉義分公司","嘉義市","西區","嘉義市西區大同路308號","其他","其他場所","和泰興業股份有限公司_嘉義分公司","17751","會議室","會議室","23.47696408556","120.42585010912","08:30:00","17:30:00","","","","","","(05)231-8735"
"5982","彰化縣鹿港鎮福崙社區","彰化縣","鹿港鎮","彰化縣鹿港鎮山崙里崙尾巷77之1號","其他","其他場所","","17756","里長辦公室","入口左邊","24.113156","120.447793","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","","0977778893"
"5999","豐詠精密工業股份有限公司","桃園市","楊梅區","桃園市楊梅區高青路32巷8號","其他","其他場所","","17757","辦公室二樓","辦公室二樓","24.929394","121.16018","07:45:00","17:10:00","","","","","","03-4964567"
"24563","新北市土城國民運動中心","新北市","土城區","新北市土城區金城路2段247-1號","大型休閒場所","運動場館(如小巨蛋)","新北市土城國民運動中心為結合運動空間、綠建築及節能設計之建築物，打造民眾休閒、健身學習、多元性運動空間，館內包含游泳池、冰宮、健身房及綜合球場等運動設施，提供民眾友善運動環境。","17760","一樓大廳","一樓大廳AED設置於：自櫃臺面向大門左側樓梯前之柱子。","24.985532915762","121.45724940766","06:00:00","22:00:00","06:00:00","22:00:00","06:00:00","22:00:00","營運時間週日到週六06:00-22:00，
除夕及農曆大年初一休館，
初二到初五營業時間調整為08:00-17:00。","02-22615999"
"22276","臺中市政府警察局第五分局水湳派出所","臺中市","北屯區","臺中市北屯區中清路二段299號","公眾服務單位設施","派出所","進入派出所後右側牆柱上","17764","臺中市政府警察局第五分局水湳派出所","進入派出所後右側牆柱上","24.178577630498","120.66814789124","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","","04-22979937"
"6085","開南大學","桃園市","蘆竹區","桃園市蘆竹區開南路1號","學校、大型集會場所","大專院校","","17765","學生第一宿舍一樓","學生第一宿舍一樓輔導室櫃檯旁","25.011155","121.270466","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","00:00:00","開放24小時使用","03-3412500#1524"
"21012","花蓮美侖大飯店","花蓮縣","花蓮市","花蓮縣花蓮市林園1-1號","旅宿場所","飯店","","17766","7樓客房客用電梯旁","7樓客房客用電梯旁","24.000213669633","121.62799943797","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","","03-8222111"
"16307","臺南市麻豆區公所","臺南市","麻豆區","臺南市麻豆區忠孝路250號","其他","其他場所","","17775","臺南市麻豆區公所一樓服務台東側","臺南市麻豆區公所一樓服務台東側","23.184947","120.258445","08:00:00","17:00:00","","","","","","06-5721131"
"24316","和泰興業股份有限公司_高雄分公司","高雄市","仁武區","高雄市仁武區高楠公路94號.","其他","其他場所","和泰興業股份有限公司_高雄分公司","17778","廠區右側","廠區右側","22.702643673271","120.32590567175","08:30:00","17:30:00","","","","","","(07)341-4488"
"21012","花蓮美侖大飯店","花蓮縣","花蓮市","花蓮縣花蓮市林園1-1號","旅宿場所","飯店","","17783","1樓俱樂部","俱樂部休閒中心櫃檯旁","24.000213669615","121.62797798979","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","","03-8222111"
"3863","友華生技醫藥股份有限公司","雲林縣","虎尾鎮","雲林縣虎尾鎮科虎路126.128號","其他","其他場所","","17789","友華大廳進入，客梯前","友華 大廳","23.734701482979","120.40706521935","07:30:00","18:00:00","","","","","","05-6311801"
"9987","衛生福利部基隆醫院附設社區復健中心","基隆市","信義區","基隆市信義區信一路124號1樓","其他","其他場所","","17795","大廳","大活動廳(社區復健中心)","25.128919","121.748307","08:00:00","16:00:00","","","","","星期一至五早上八點至下午四點","24292525#4025"
"24252","和泰興業股份有限公司_宜蘭分公司","宜蘭縣","五結鄉","宜蘭縣五結鄉中正路二段78-1號","其他","其他場所","和泰興業股份有限公司_宜蘭分公司","17805","一樓辦公室","一樓辦公室","24.674059600575","121.77332541306","08:30:00","17:30:00","","","","","和泰興業股份有限公司_宜蘭分公司","(03)957-8076"
"17783","高雄市輪船公司健康號","高雄市","鼓山區","高雄市鼓山區濱海一路76號（健康輪）","長距離交通工具","客船","","17809","高雄市輪船公司健康號","高雄市輪船公司健康號二樓客艙救生衣櫃上方","22.619776","120.269939","05:00:00","02:00:00","05:00:00","02:00:00","05:00:00","02:00:00","船有營運 AED開放使用","07-5514316"
"3534","高雄市立鼓山高級中學","高雄市","鼓山區","高雄市鼓山區明德路2號","學校、大型集會場所","高中職","","17812","健康中心門口","位於校門口進去第二棟一樓","22.651986195671","120.27445004893","","","","","","","","07-5213258"
"5735","屏東縣萬新國民中學","屏東縣","萬丹鄉","屏東縣萬丹鄉新鐘村新鐘路8號","學校、大型集會場所","國中","","17814","健康中心","本校校門口進來第二棟教學大樓","22.562488","120.486803","00:00:00","23:00:00","00:00:00","23:00:00","00:00:00","23:00:00","","0921640136"
"21766","香港商世界健身事業有限公司中壢中山分公司","桃園市","中壢區","桃園市中壢區中山路136號2樓","學校、大型集會場所","健身房","桃園市中壢區中山路136號2樓及3樓","17818","香港商世界健身事業有限公司中壢中山分公司","香港商世界健身事業有限公司中壢中山分公司(320桃園市中壢區中山路136號2樓-3樓)","24.95596325611","121.22503581022","06:00:00","00:30:00","06:00:00","00:30:00","06:00:00","00:30:00","","03-4255566"
"5851","台灣菸酒股份有限公司埔里酒廠","南投縣","埔里鎮","南投縣埔里鎮中山路三段219號","觀光旅遊地區","文化園區","","17819","台灣菸酒股份有限公司埔里酒廠","南投縣埔里鎮中山路三段219號","23.967912","120.96019","08:30:00","17:00:00","08:30:00","18:00:00","08:30:00","18:00:00","除除夕休息1天全年無休","049-2901649"
"7982","宜蘭縣南澳鄉金岳國民小學","宜蘭縣","南澳鄉","宜蘭縣南澳鄉金岳村金岳路2號","學校、大型集會場所","國小","宜蘭縣南澳鄉金岳國民小學","17820","宜蘭縣南澳鄉金岳國民小學","教職員辦公室","24.470825282666","121.77733880219","08:00:00","16:00:00","","","","","","03-9981636"
